timestamp,pitch,yaw,roll,accel_x,accel_y,accel_z
3082264,-4.5,3.0,-2.7,-0.15,-0.50,9.61
3082314,-5.1,-0.3,-3.4,-0.04,-0.27,9.73
3082364,-5.1,-0.3,-3.4,0.15,-1.65,9.08
3082414,-5.5,-3.7,-3.8,0.15,-1.30,9.93
3082464,-5.5,-3.7,-3.8,0.04,-1.46,9.77
3082514,-6.9,-8.2,-3.6,0.38,-1.11,9.43
3082564,-6.9,-8.2,-3.6,0.34,-0.50,9.42
3082614,-8.2,-12.9,-3.1,0.57,-0.84,9.12
3082664,-8.2,-12.9,-3.1,0.50,-0.50,9.30
3082714,-8.2,-17.5,-2.2,0.54,-0.04,9.65
3082764,-8.2,-17.5,-2.2,0.61,-0.80,9.54
3082814,-7.6,-21.5,-1.8,0.54,-0.15,9.69
3082864,-7.6,-21.5,-1.8,0.65,-0.50,9.80
3082914,-7.6,-25.0,-1.2,0.54,0.46,9.65
3082964,-7.6,-25.0,-1.2,0.73,0.15,9.80
3083014,-8.3,-27.5,-0.7,0.77,0.77,9.04
3083064,-8.3,-27.5,-0.7,1.00,0.88,9.12
3083114,-8.8,-28.6,-0.8,1.07,1.07,9.04
3083164,-8.8,-28.6,-0.8,0.80,0.84,9.65
3083214,-8.3,-28.0,-0.5,0.77,0.77,9.65
3083264,-8.3,-28.0,-0.5,0.88,0.42,9.31
3083314,-8.1,-25.4,-0.8,1.00,1.04,9.39
3083364,-8.1,-25.4,-0.8,0.88,1.15,9.65
3083414,-6.9,-21.2,-0.5,0.92,1.38,9.73
3083464,-6.9,-21.2,-0.5,0.84,1.76,9.27
3083514,-6.0,-14.4,-0.3,1.23,0.23,10.31
3083564,-6.0,-14.4,-0.3,1.57,0.50,9.54
3083614,-5.9,-7.1,0.2,2.03,-0.04,9.50
3083664,-5.9,-7.1,0.2,2.41,-0.80,9.69
3083714,-5.4,-0.9,2.3,2.22,0.08,9.73
3083764,-5.4,-0.9,2.3,2.61,-1.27,10.07
3083814,-5.7,3.6,2.7,2.41,-0.73,9.54
3083864,-5.7,3.6,2.7,2.11,-0.69,10.11
3083914,-6.2,6.3,2.4,1.72,-0.92,9.73
3083964,-6.2,6.3,2.4,1.07,0.57,9.73
3084014,-6.4,7.6,1.9,0.69,0.42,9.58
3084064,-6.4,7.6,1.9,0.50,0.08,9.42
3084114,-6.4,9.0,1.2,0.27,0.46,9.08
3084164,-6.4,9.0,1.2,0.27,-0.04,9.39
3084214,-5.6,10.0,0.6,0.23,-0.34,9.69
3084264,-5.6,10.0,0.6,0.23,0.11,9.77
3084314,-4.5,10.1,0.1,0.19,-0.19,9.77
3084364,-4.5,10.1,0.1,0.34,0.30,9.69
3084414,-3.4,9.9,-0.2,0.50,0.00,10.15
3084464,-3.4,9.9,-0.2,0.38,0.38,9.58
3084514,-1.7,10.1,-0.8,0.04,-0.30,9.27
3084564,-1.7,10.1,-0.8,0.46,-0.19,9.81
3084614,-3.5,10.0,0.2,1.27,-0.04,11.15
3084664,-3.5,10.0,0.2,0.57,-0.04,9.54
3084714,-3.6,10.0,-0.2,0.61,0.04,9.65
3084764,-3.6,10.0,-0.2,0.61,0.04,9.65
3084814,-3.6,10.0,-0.2,0.61,0.00,9.61
3084864,-3.6,10.0,-0.2,0.61,0.00,9.61
3084914,-3.7,10.0,-0.2,0.61,0.00,9.65
3084964,-3.7,10.0,-0.2,0.61,0.00,9.65
3085014,-3.7,10.0,-0.2,0.61,0.00,9.61
3085064,-3.7,10.0,-0.2,0.61,0.00,9.65
3085114,-3.7,10.0,-0.2,0.61,0.00,9.61
3085164,-3.7,10.0,-0.2,0.61,0.00,9.61
3085214,-3.7,10.0,-0.2,0.61,0.00,9.61
3085264,-3.7,10.0,-0.2,0.61,0.00,9.61
3085314,-3.7,10.0,-0.2,0.61,0.00,9.61
3085364,-3.7,10.0,-0.2,0.61,0.00,9.61
3085414,-3.7,10.0,-0.1,0.61,0.00,9.61
3085464,-3.7,10.0,-0.1,0.61,0.00,9.61
3085514,-3.6,10.0,-0.1,0.61,0.00,9.65
3085564,-3.6,10.0,-0.1,0.61,0.00,9.61
3085614,-3.6,10.0,-0.1,0.61,0.00,9.61
3085664,-3.6,10.0,-0.1,0.61,0.00,9.61
3085714,-3.6,10.0,-0.1,0.61,0.00,9.61
3085764,-3.6,10.0,-0.1,0.61,0.00,9.65
3085814,-3.6,10.0,-0.1,0.61,0.00,9.61
3085864,-3.6,10.0,-0.1,0.61,0.00,9.65
3085914,-3.6,10.0,-0.1,0.61,0.00,9.61
3085964,-3.6,10.0,-0.1,0.61,0.00,9.65
3086014,-3.6,10.0,-0.1,0.61,0.00,9.61
3086064,-3.6,10.0,-0.1,0.61,0.00,9.61
3086114,-3.6,10.0,-0.1,0.61,0.00,9.61
3086164,-3.6,10.0,-0.1,0.61,0.00,9.65
3086214,-3.6,10.0,-0.1,0.61,0.00,9.61
3086264,-3.6,10.0,-0.1,0.61,0.00,9.61
3086314,-3.6,10.0,-0.1,0.61,0.00,9.61
3086364,-3.6,10.0,-0.1,0.61,0.00,9.61
3086414,-3.6,10.0,-0.1,0.61,0.00,9.61
3086464,-3.6,10.0,-0.1,0.61,0.00,9.61
3086514,-3.6,10.0,-0.1,0.61,0.04,9.61
3086564,-3.6,10.0,-0.1,0.61,0.00,9.61
3086614,-3.6,10.0,-0.1,0.61,0.00,9.61
3086664,-3.6,10.0,-0.1,0.61,0.00,9.61
3086714,-3.6,10.0,-0.0,0.61,0.00,9.65
3086764,-3.6,10.0,-0.0,0.61,0.00,9.65
3086814,-3.6,10.0,-0.0,0.61,0.00,9.61
3086864,-3.6,10.0,-0.0,0.61,0.00,9.61
3086914,-3.6,10.0,-0.0,0.61,0.00,9.61
3086964,-3.6,10.0,-0.0,0.61,0.00,9.61
3087014,-3.6,10.0,-0.0,0.61,0.00,9.61
3087064,-3.6,10.0,-0.0,0.61,0.00,9.65
3087114,-3.6,10.0,-0.0,0.61,0.00,9.65
3087164,-3.6,10.0,-0.0,0.61,0.00,9.65
3087214,-3.6,10.0,-0.0,0.61,0.00,9.61
3087264,-3.6,10.0,-0.0,0.61,0.00,9.61
3087314,-3.6,10.0,-0.0,0.61,0.00,9.61
3087364,-3.6,10.0,-0.0,0.61,0.00,9.65
3087414,-3.6,10.0,-0.0,0.61,0.00,9.65
3087464,-3.6,10.0,-0.0,0.61,0.00,9.61
3087514,-3.6,10.0,-0.0,0.61,0.00,9.61
3087564,-3.6,10.0,-0.0,0.61,0.00,9.65
3087614,-3.6,10.0,-0.0,0.61,0.00,9.61
3087664,-3.6,10.0,-0.0,0.61,0.00,9.61
3087714,-3.6,10.0,-0.0,0.61,0.00,9.65
3087764,-3.6,10.0,-0.0,0.61,0.00,9.61
3087814,-3.6,10.0,-0.0,0.61,0.00,9.61
3087864,-3.6,10.0,-0.0,0.61,0.00,9.61
3087914,-3.6,10.0,-0.0,0.61,0.00,9.61
3087964,-3.6,10.0,-0.0,0.61,0.00,9.61
3088014,-3.6,10.0,-0.0,0.61,0.00,9.65
3088064,-3.6,10.0,-0.0,0.61,0.00,9.65
3088114,-3.6,10.0,-0.0,0.61,0.00,9.61
3088164,-3.6,10.0,-0.0,0.61,0.00,9.65
3088214,-3.6,10.0,-0.0,0.61,0.00,9.65
3088264,-3.6,10.0,-0.0,0.61,0.00,9.61
3088314,-3.6,10.0,-0.0,0.61,0.00,9.61
3088364,-3.6,10.0,-0.0,0.61,0.00,9.61
3088414,-3.6,10.0,-0.0,0.61,0.00,9.61
3088464,-3.6,10.0,-0.0,0.61,0.00,9.61
3088514,-3.6,10.0,-0.0,0.57,0.00,9.65
3088564,-3.6,10.0,-0.0,0.61,0.00,9.61
3088614,-3.6,10.0,-0.0,0.61,0.00,9.61
3088664,-3.6,10.0,-0.0,0.61,0.00,9.61
3088714,-3.6,10.0,-0.0,0.61,0.00,9.61
3088764,-3.6,10.0,-0.0,0.61,0.00,9.65
3088814,-3.6,10.0,-0.0,0.61,0.00,9.61
3088864,-3.6,10.0,-0.0,0.61,0.04,9.61
